City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
280,Kribi,CM,2.95,9.9167,77.14,86,96,5.95,light rain
281,Poum,NC,-20.2333,164.0167,80.2,76,100,4.88,overcast clouds
282,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,54,0,4.47,clear sky
283,Kannauj,IN,27.0546,79.922,67.35,43,0,7.47,clear sky
284,Madison Heights,US,42.4859,-83.1052,35.96,81,100,3.44,overcast clouds
285,Sur,OM,22.5667,59.5289,76.64,69,5,2.91,clear sky
286,Buala,SB,-8.145,159.5921,84.45,70,51,1.32,light rain
287,Turan,VN,16.0678,108.2208,78.78,94,75,3.44,broken clouds
288,Tisul,RU,55.7611,88.3122,22.5,82,84,13.29,broken clouds
289,Adrar,MR,20.5022,-10.0711,71.74,23,0,10.36,clear sky
290,Somovo,RU,51.741,39.3665,28.9,93,100,6.71,mist
291,Lavrentiya,RU,65.5833,-171.0,33.44,95,100,15.05,overcast clouds
292,Ust-Ishim,RU,57.6935,71.1665,-8.52,95,19,3.96,few clouds
293,Ambulu,ID,-8.345,113.6058,86.67,66,78,3.51,broken clouds
294,Cabadiangan,PH,9.7531,122.4739,82.2,80,98,7.61,overcast clouds
295,Mugango,TZ,-1.6833,33.7,67.14,88,94,5.3,light rain
296,Dhar,IN,22.6,75.3,67.51,35,0,8.88,clear sky
297,Varhaug,NO,58.6147,5.6457,45.9,73,78,32.7,broken clouds
298,Ulaangom,MN,49.9811,92.0667,24.98,59,91,1.97,overcast clouds
299,Shellbrook,CA,53.2168,-106.4011,15.03,85,100,19.22,overcast clouds
300,Guilin,CN,25.2819,110.2864,59.11,88,100,4.65,overcast clouds
301,Ahar,IR,38.4774,47.0699,40.98,85,8,8.08,clear sky
302,Srednekolymsk,RU,67.45,153.6833,-4.65,99,100,7.07,light snow
303,Pevek,RU,69.7008,170.3133,1.87,97,100,8.7,overcast clouds
304,Port Hedland,AU,-20.3167,118.5667,82.45,44,23,19.57,few clouds
305,Douentza,ML,14.9951,-2.9517,71.2,19,11,3.87,few clouds
306,Manali,IN,13.1667,80.2667,77.09,73,74,11.18,broken clouds
307,Girne,CY,35.3417,33.3167,54.95,67,67,10.63,broken clouds
308,Sefton,NZ,-43.25,172.6667,67.96,77,98,9.48,overcast clouds
309,Sorland,NO,67.667,12.6934,44.46,54,40,10.36,scattered clouds
310,Ponta Delgada,PT,37.7333,-25.6667,63.32,82,75,9.22,broken clouds
311,Zavyalovo,RU,54.5053,82.4484,22.64,87,100,20.22,overcast clouds
312,Channel-Port Aux Basques,CA,47.5702,-59.1367,37.18,97,100,27.56,light rain
313,Boa Vista,BR,2.8197,-60.6733,78.78,83,0,3.44,clear sky
314,Sisimiut,GL,66.9395,-53.6735,22.87,93,100,20.45,light snow
315,Oussouye,SN,12.485,-16.5469,78.89,77,28,4.43,scattered clouds
316,Isaka,TZ,-3.9,32.9333,66.72,83,99,3.0,light rain
317,Barra Do Garcas,BR,-15.89,-52.2567,76.1,58,7,6.49,clear sky
318,Madang,PG,-5.2246,145.7966,86.92,64,100,8.7,overcast clouds
319,Xam Nua,LA,20.4197,104.0439,72.63,77,67,1.52,broken clouds
320,Andenes,NO,69.3143,16.1194,33.78,75,11,12.66,few clouds
321,Princeton,US,25.5384,-80.4089,80.01,93,0,3.44,clear sky
322,Gat,IL,31.61,34.7642,63.39,100,24,7.0,few clouds
323,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,27,0,10.0,clear sky
324,Bentiu,SS,9.2333,29.8333,72.25,38,23,5.23,few clouds
325,Mackay,AU,-21.15,149.2,89.69,48,40,16.84,scattered clouds
326,Iqaluit,CA,63.7506,-68.5145,8.33,85,100,6.91,light snow
327,Moose Jaw,CA,50.4001,-105.5344,17.85,86,100,20.71,overcast clouds
328,Bismarck,US,46.8083,-100.7837,28.24,82,100,27.63,overcast clouds
329,Isabela,PH,6.7085,121.9711,82.45,81,100,10.56,light rain
330,Lesogorsk,RU,56.0458,99.5136,30.02,75,95,6.38,overcast clouds
331,Boralday,KZ,43.3578,76.8594,21.06,86,75,4.47,broken clouds
332,Isangel,VU,-19.55,169.2667,83.68,65,92,7.54,overcast clouds
333,Pyay,MM,18.8167,95.2167,79.83,60,3,8.93,clear sky
334,Ambunti,PG,-4.2365,142.8448,94.26,47,93,3.02,overcast clouds
335,Sabang,ID,5.8933,95.3214,81.88,74,100,18.99,moderate rain
336,Baldwin,US,30.7505,-87.7667,47.86,90,100,6.22,overcast clouds
337,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,85,100,7.92,overcast clouds
338,Mitsamiouli,KM,-11.3847,43.2844,75.49,78,20,8.05,few clouds
339,Cabo San Lucas,MX,22.8909,-109.9124,76.51,67,20,6.91,few clouds
340,Noumea,NC,-22.2763,166.4572,87.78,79,100,8.86,overcast clouds
341,Svetlyy,RU,54.675,20.1347,33.85,78,8,10.78,clear sky
342,Nome,US,64.5011,-165.4064,31.15,80,0,20.71,clear sky
343,Dickinson,US,29.4608,-95.0513,53.55,67,75,11.5,broken clouds
344,Hobyo,SO,5.3505,48.5268,80.64,73,58,10.45,light rain
345,Margate,GB,51.3813,1.3862,54.3,97,100,5.99,overcast clouds
346,Oga,IT,46.4631,10.347,34.48,81,69,3.96,broken clouds
